age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,note_evaluation_precedente,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,frequence_deplacement_encoded,rapport_revenu_experience,sous_paye,satisfaction_generale,demotivation_importante,stagnation_poste
25,0,0.454,2,6,2,0.333,0.667,0,0.18,0,0,3,28,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.065,0,0.5835,0,0.667
30,0,-0.033,0,12,11,0.667,0.667,1,0.19,0,0,2,9,3,4,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.003,0,0.66675,0,1.8
32,1,-0.489,7,10,5,0.667,1.0,0,0.22,1,0,2,9,3,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.044,0,0.25,0,4.0
45,0,-0.648,5,9,6,0.667,0.667,0,0.13,0,0,2,29,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.065,1,0.58325,0,5.0
38,1,-0.464,3,19,3,0.667,1.0,1,0.2,0,0,2,3,5,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.023,0,0.66675,0,0.667
30,1,-0.822,1,5,5,0.667,0.667,0,0.14,0,0,4,18,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.137,1,0.41675,0,4.0
32,0,-0.39,0,9,8,0.0,0.667,0,0.17,0,3,2,9,2,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,-0.039,0,1.0,0,7.0
30,1,-0.701,5,8,3,0.667,0.667,0,0.14,0,1,3,5,3,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.078,1,0.66675,0,0.667
30,0,-0.804,0,6,5,0.333,0.667,0,0.13,0,0,3,2,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.115,1,0.75,0,1.5
41,0,2.269,4,21,7,0.333,0.667,0,0.13,0,1,2,10,3,7,7,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0.103,0,0.4165,0,0.75
41,0,-0.906,2,7,5,0.667,1.0,0,0.21,0,1,2,9,4,1,4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.113,1,0.5835,0,0.0
19,1,-1.067,1,1,1,0.667,0.667,0,0.14,0,0,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.534,1,0.58325,0,0.0
40,1,-0.191,1,20,20,0.667,0.667,0,0.11,0,1,2,26,3,2,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-0.009,0,0.33325000000000005,0,2.333
35,0,0.168,1,10,10,0.667,0.667,0,0.13,0,2,3,1,5,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.015,0,0.41675,0,8.0
53,0,-0.892,2,13,7,0.667,1.0,1,0.2,0,1,3,6,2,4,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.064,1,0.5,0,1.4
45,0,-0.883,8,20,17,0.667,0.667,0,0.18,0,1,2,9,3,0,15,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.042,0,0.33325000000000005,0,9.0
32,1,0.53,1,9,9,0.667,0.667,0,0.14,0,0,2,8,3,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0.053,0,0.75,0,2.0
29,0,-0.464,1,10,10,0.667,0.667,0,0.13,0,1,1,1,1,0,9,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.042,0,0.5835,0,7.0
51,0,-0.079,2,10,1,0.333,0.667,0,0.17,0,0,2,7,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-0.007,0,0.5835,0,0.0
58,1,-0.671,4,9,1,0.333,1.0,1,0.2,0,1,3,9,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.067,1,0.333,0,0.0
40,0,0.925,7,15,12,0.333,0.667,0,0.11,0,1,2,4,4,2,11,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.058,0,0.5,0,3.667
34,1,-0.908,6,6,4,0.667,0.667,0,0.18,0,1,3,2,4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,-0.13,1,0.7502500000000001,0,1.5
22,0,-0.888,1,2,2,0.667,1.0,0,0.24,0,2,6,19,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.296,1,0.5835,0,0.667
27,0,-0.952,6,6,2,0.667,0.667,0,0.18,0,1,1,9,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.136,1,0.58325,0,0.667
28,0,-0.805,1,5,5,0.667,0.667,0,0.11,0,1,2,21,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.134,1,0.5835,0,2.0
57,0,0.624,3,12,5,1.0,0.667,1,0.16,0,1,2,24,2,1,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.048,0,0.5,0,1.5
27,0,-0.837,1,1,1,0.333,0.667,1,0.15,0,1,2,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.418,1,0.6667500000000001,0,1.0
50,1,2.852,3,21,5,0.667,0.667,0,0.15,0,0,5,11,3,4,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.13,0,0.5,0,0.8
41,0,-0.861,4,13,9,0.667,0.667,0,0.12,0,1,2,14,3,1,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.062,1,0.3335,0,4.0
30,1,0.62,2,12,10,0.667,0.667,0,0.12,0,1,2,5,3,7,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.048,0,0.66675,0,1.125
38,1,0.464,4,12,8,0.333,1.0,0,0.22,0,0,2,1,4,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.036,0,0.66675,0,3.0
32,0,-0.736,3,8,5,0.667,1.0,0,0.2,0,0,2,6,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.082,1,0.5002500000000001,0,2.0
27,0,-0.732,0,6,5,0.667,0.667,1,0.16,0,1,3,17,3,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.105,1,0.58325,0,1.0
19,1,-0.888,0,1,0,0.0,1.0,0,0.21,1,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,-0.444,1,0.41675,0,0.0
36,0,-0.938,4,13,8,0.667,0.667,0,0.12,0,0,3,3,2,7,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,-0.067,1,0.58325,0,0.875
30,0,-0.729,1,12,12,0.667,0.667,0,0.11,0,2,4,9,3,6,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.056,1,0.5002500000000001,0,1.286
45,1,-0.318,4,9,5,0.667,0.667,1,0.11,0,1,3,4,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.032,0,0.41675,0,4.0
56,1,-0.477,4,19,2,0.667,0.667,1,0.18,0,1,3,8,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.024,0,0.5002500000000001,0,0.667
33,0,-0.851,0,4,3,0.667,0.667,0,0.14,0,0,2,2,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.17,1,0.66675,0,1.0
19,0,-1.148,1,1,1,0.333,1.0,0,0.22,1,0,3,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.574,1,0.58325,0,0.0
46,1,0.839,1,24,24,0.667,1.0,0,0.25,0,3,2,1,2,15,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.034,0,0.41675,0,0.812
38,1,-0.896,1,2,2,0.667,0.667,0,0.12,0,0,3,9,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.299,1,0.7502500000000001,0,0.667
31,1,-0.547,8,7,4,0.667,1.0,1,0.23,0,1,0,12,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.068,1,0.7502500000000001,0,2.0
34,1,-0.891,2,9,3,0.667,0.667,0,0.15,0,0,3,27,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.089,1,0.75,0,1.0
41,1,-0.715,1,4,4,0.667,1.0,1,0.22,1,0,5,20,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.143,1,0.49974999999999997,0,3.0
50,0,-0.598,2,5,3,0.333,0.667,0,0.15,0,1,2,1,3,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.1,1,0.6667500000000001,0,2.0
53,1,-0.436,1,5,4,1.0,0.667,0,0.11,0,2,3,13,2,1,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-0.073,1,0.5835,0,1.0
33,1,-0.796,1,8,8,0.667,0.667,0,0.13,0,1,5,14,3,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.088,1,0.75,0,3.5
40,1,2.662,1,21,20,0.667,0.667,0,0.14,0,1,2,4,1,9,9,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.121,0,0.66675,0,0.8
55,0,2.596,8,36,24,1.0,0.667,0,0.11,0,0,3,14,4,2,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.07,0,0.66675,0,5.0
34,0,0.647,1,10,10,0.333,0.667,0,0.17,0,0,2,2,1,1,9,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.059,0,0.6667500000000001,0,4.5
51,1,1.536,3,21,7,0.667,0.667,0,0.18,0,0,6,3,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.07,0,0.66675,0,3.5
52,0,2.868,0,34,33,0.333,0.667,0,0.14,0,1,5,1,4,11,9,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.082,0,0.5002500000000001,0,1.5
27,1,-0.897,1,7,7,0.667,0.667,0,0.16,0,0,2,9,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.112,1,0.6665000000000001,0,7.0
35,0,-0.125,3,8,1,0.333,0.667,1,0.13,1,0,1,23,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.014,0,0.41675,0,0.0
43,0,-0.938,4,7,5,1.0,0.667,0,0.14,0,3,3,7,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.117,1,1.0,0,1.333
45,0,2.186,9,22,20,0.333,1.0,0,0.23,0,1,1,2,2,11,8,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.095,0,0.66675,0,0.667
37,0,-0.624,1,8,8,1.0,0.667,1,0.12,0,1,3,21,3,1,7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.069,1,0.1665,1,3.5
35,1,-0.442,5,10,6,0.667,0.667,0,0.11,0,0,5,2,3,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,-0.04,0,0.58325,0,1.0
42,1,-0.263,2,11,5,0.667,0.667,0,0.16,0,1,5,21,2,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.022,0,0.5835,0,3.0
38,0,0.011,9,14,1,0.667,0.667,0,0.14,0,0,3,2,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.001,0,0.66675,0,0.0
38,0,-0.051,3,9,7,0.667,0.667,0,0.18,0,1,3,29,3,1,7,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-0.005,0,0.5,0,3.5
27,0,-0.469,5,6,2,0.333,0.667,0,0.19,0,1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,-0.067,1,0.5002500000000001,0,0.667
49,0,0.064,1,7,7,0.667,0.667,1,0.15,0,2,0,18,4,1,7,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.008,0,0.66675,0,3.5
34,0,-0.571,1,5,5,0.667,0.667,1,0.17,0,1,4,10,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-0.095,1,0.91675,0,1.0
40,0,-0.799,8,15,7,0.667,0.667,1,0.15,0,1,2,19,2,3,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.05,0,0.8335,0,0.5
38,0,0.036,7,17,1,0.667,0.667,1,0.19,1,0,2,29,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.002,0,0.33325000000000005,0,0.0
29,1,0.241,1,10,10,0.667,1.0,0,0.22,1,3,3,27,3,1,9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.022,0,0.6665000000000001,0,2.0
22,0,-0.887,1,4,4,1.0,0.667,1,0.16,0,1,2,5,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.177,1,0.4165,1,0.667
36,1,-0.924,1,8,8,0.667,0.667,0,0.13,0,0,2,18,1,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,-0.103,1,0.5,0,0.5
40,0,-0.346,9,5,3,0.333,0.667,0,0.14,0,1,5,9,5,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.058,1,0.75,0,2.0
46,0,0.615,7,17,4,0.667,0.667,0,0.16,0,1,3,1,4,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.034,0,0.5835,0,2.0
32,0,0.828,1,14,14,0.0,0.667,0,0.11,1,0,2,4,4,9,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.055,0,0.75,0,0.8
30,0,0.419,1,12,11,0.333,1.0,0,0.22,0,0,2,1,1,5,8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.032,0,0.667,0,1.333
27,1,0.739,1,7,7,0.667,0.667,0,0.14,0,0,2,20,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0.092,0,0.8334999999999999,0,7.0
51,0,1.272,5,16,10,0.333,0.667,0,0.16,0,2,5,8,4,4,7,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.075,0,0.4165,0,1.8
30,1,-0.817,5,8,5,0.667,0.667,1,0.11,1,0,5,3,3,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.091,1,0.5835,0,2.0
41,1,1.506,3,16,1,0.667,0.667,1,0.18,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.089,0,0.8334999999999999,0,0.0
30,1,0.041,5,9,6,0.333,0.667,0,0.15,1,0,5,26,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0.004,0,0.41675,0,3.0
29,0,-0.944,0,7,6,0.667,0.667,0,0.14,1,0,1,1,3,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.118,1,0.6667500000000001,0,1.0
45,1,0.502,6,23,19,0.333,0.667,0,0.12,0,0,2,6,3,12,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.021,0,0.91675,0,0.538
54,1,-0.12,2,16,6,0.667,0.667,0,0.14,0,1,4,3,3,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.007,0,0.66675,0,2.0
36,0,-0.125,8,16,13,0.667,0.667,0,0.16,0,0,3,5,2,3,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.007,0,0.83325,0,2.75
33,1,-0.825,6,7,3,0.333,1.0,0,0.21,0,0,3,4,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.103,1,0.66675,0,1.0
37,0,1.207,1,10,10,0.667,0.667,1,0.14,0,3,1,11,3,0,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.11,0,0.66675,0,8.0
38,0,0.872,0,17,16,0.667,0.667,0,0.12,0,2,6,3,3,5,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.048,0,0.41675,0,1.667
31,0,-0.459,0,6,5,0.0,0.667,0,0.12,0,1,2,1,4,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.066,1,0.7502500000000001,0,2.0
59,0,-0.919,3,7,1,0.333,0.667,0,0.17,0,1,6,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.115,1,0.5835,0,0.0
37,0,-0.788,4,13,9,0.667,0.667,0,0.17,0,1,2,4,4,5,8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,-0.056,1,0.5835,0,1.333
29,1,0.301,1,11,11,0.667,0.667,0,0.14,0,1,5,1,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0.025,0,0.75,0,2.0
35,1,0.486,1,10,10,0.667,0.667,0,0.14,0,0,3,1,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0.044,0,0.5835,0,7.0
29,0,-0.874,1,4,4,0.333,0.667,1,0.13,1,0,3,18,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.175,1,0.6667500000000001,0,3.0
52,1,-0.699,7,6,2,0.333,0.667,0,0.15,0,0,3,2,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.1,1,0.58325,0,0.667
42,0,2.705,1,22,22,0.667,0.667,0,0.11,0,0,3,4,2,11,15,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.118,0,0.8334999999999999,0,1.417
59,0,-0.9,8,7,2,0.667,0.667,0,0.17,0,0,2,6,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-0.112,1,0.58325,0,0.667
50,1,2.765,3,32,7,0.667,0.667,0,0.11,0,1,3,1,4,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.084,0,0.75,0,0.0
33,0,-0.864,5,8,5,0.667,0.667,1,0.13,1,1,2,14,3,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.096,1,0.5835,0,4.0
43,1,2.032,5,22,17,0.667,1.0,1,0.22,0,1,3,16,3,1,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.088,0,0.8334999999999999,0,6.5
33,1,-0.807,7,13,9,0.667,1.0,0,0.2,1,0,3,2,2,1,7,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.058,1,0.25,0,3.5
52,0,2.67,1,33,33,0.333,0.667,1,0.18,0,0,2,2,4,15,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.079,0,0.66675,0,0.438
32,1,-0.546,2,6,4,0.667,0.667,0,0.11,0,1,5,4,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,-0.078,1,0.41675,0,1.5
32,0,-0.589,0,4,3,0.333,0.667,1,0.14,1,0,2,1,3,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.118,1,0.66675,0,1.0
39,1,-0.907,7,7,3,0.667,0.667,0,0.14,0,3,1,1,4,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.113,1,0.667,0,1.0
32,0,-0.433,0,4,3,0.667,0.667,0,0.18,0,0,2,26,4,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.087,1,0.5835,0,0.667
41,0,-0.729,2,17,1,0.667,0.667,0,0.16,0,2,2,19,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.04,0,0.25,0,0.0
40,0,-0.677,1,9,9,0.667,0.667,0,0.17,0,2,3,24,2,4,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.068,1,0.41675,0,1.6
45,0,2.698,0,25,24,1.0,0.667,0,0.11,0,1,2,1,3,1,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.104,0,0.7502500000000001,0,0.0
31,0,1.524,9,9,2,0.667,0.667,0,0.12,0,1,3,3,4,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0.152,0,0.41675,0,0.667
33,1,-0.763,1,2,2,0.333,0.667,0,0.13,0,1,2,5,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.254,1,0.6667500000000001,0,2.0
34,0,-0.116,6,13,11,0.333,0.667,0,0.13,0,1,3,2,4,5,9,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.008,0,0.5,0,1.5
37,1,-0.549,2,17,3,0.333,0.667,0,0.14,0,1,2,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.031,0,0.25,0,1.0
45,0,-0.015,4,9,3,1.0,0.667,0,0.17,0,1,1,7,4,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,-0.002,0,0.5835,0,2.0
37,0,0.753,6,17,1,0.667,0.667,0,0.11,1,2,5,10,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0.042,0,0.41675,0,0.0
39,1,0.942,0,20,19,0.667,1.0,0,0.25,0,0,1,2,4,11,8,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0.045,0,0.7502500000000001,0,0.5
29,0,-0.885,1,6,6,0.667,0.667,0,0.19,0,0,1,15,3,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.126,1,0.5835,0,2.5
42,1,0.009,3,10,3,1.0,0.667,1,0.13,0,0,1,17,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.001,0,0.5835,0,2.0
29,0,0.091,2,10,3,0.667,0.667,0,0.14,0,1,2,20,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.008,0,0.91675,0,2.0
25,1,-0.341,0,5,4,0.667,0.667,0,0.12,0,2,3,1,3,1,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.057,1,0.5835,0,1.0
42,1,-0.831,0,10,9,0.333,0.667,1,0.11,0,1,4,2,3,7,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.076,1,0.5835,0,0.75
40,0,2.748,0,22,21,0.667,0.667,0,0.19,0,1,5,2,2,3,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.119,0,0.5835,0,1.75
51,0,-0.803,1,1,1,0.667,0.667,0,0.11,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.402,1,0.58325,0,0.0
31,0,-0.643,0,6,5,0.333,0.667,0,0.11,1,0,2,29,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,-0.092,1,0.58325,0,2.0
32,0,-0.788,1,5,5,1.0,1.0,0,0.2,0,0,3,7,3,0,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,-0.131,1,0.33325000000000005,0,1.0
38,0,-0.266,3,13,8,0.333,0.667,0,0.18,0,1,0,2,2,7,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.019,0,0.91675,0,0.875
32,0,-0.919,4,9,6,0.333,0.667,0,0.13,0,0,5,2,1,0,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-0.092,1,0.66675,0,2.0
46,1,2.203,3,28,7,0.0,0.667,1,0.12,0,1,2,2,3,7,7,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.076,0,0.4165,0,0.875
28,0,-0.641,2,5,0,0.667,0.667,0,0.11,1,0,5,2,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.107,1,0.3335,0,0.0
29,0,0.03,2,10,0,0.333,0.667,0,0.19,0,2,2,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.003,0,0.33325000000000005,0,0.0
31,0,-0.196,0,10,9,0.333,1.0,0,0.21,0,1,2,23,3,7,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-0.018,0,0.58325,0,0.0
25,0,-0.532,1,6,6,1.0,0.667,0,0.12,0,2,2,5,2,1,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.076,1,0.5,0,1.5
45,0,1.486,0,21,20,0.667,0.667,1,0.14,0,0,2,20,2,4,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.068,0,0.66675,0,1.4
36,0,-0.7,0,16,15,0.667,0.667,0,0.11,0,1,4,6,3,10,11,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.041,0,0.8334999999999999,0,1.182
55,0,2.665,0,37,36,0.667,0.667,1,0.14,0,0,2,1,3,4,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.07,0,0.5835,0,2.0
47,0,1.136,1,10,10,0.667,0.667,1,0.12,1,1,2,29,4,9,9,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.103,0,0.4165,0,0.7
28,0,-0.942,1,5,5,0.667,1.0,0,0.23,0,1,3,9,3,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.157,1,0.83325,0,2.0
37,0,-0.0,4,7,5,0.667,0.667,0,0.14,0,1,5,6,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.0,0,0.75,0,4.0
21,0,-0.695,1,3,3,0.333,0.667,0,0.17,0,0,4,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.174,1,0.66675,0,1.0
37,1,1.509,2,15,5,0.667,0.667,1,0.18,0,2,2,1,4,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.094,0,0.41675,0,2.0
35,1,1.167,7,10,7,1.0,0.667,0,0.18,0,1,6,22,3,6,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.106,0,0.333,1,1.0
38,1,-0.191,1,8,8,1.0,1.0,1,0.24,0,1,3,7,2,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.021,0,0.3335,0,0.0
26,1,-0.023,1,6,6,0.667,1.0,0,0.2,0,1,6,1,3,1,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,-0.003,0,0.25,0,2.5
50,0,2.686,3,28,10,0.667,0.667,0,0.14,0,2,4,4,1,1,6,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.093,0,0.1665,0,2.0
53,0,2.354,3,21,5,0.667,0.667,1,0.16,0,3,5,3,4,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.107,0,0.6667500000000001,0,1.5
